Nombre de la convocatoria de beca,Tipo de beca ,Cobertura de costo económico del programa ,Beneficios adicionales,Enlace o publicación de referencia,Área de interés,Modalidad del programa,Fecha de apertura de postulación,Fecha límite de postulación,Facilitador de beca,Fecha de inicio de programa,Duración de programa,Renovabilidad,Condición de retorno,"Si el facilitador es un tercero (no el Estado Peruano), especificar",Regionalidad de la beca/curso,Especificar país en caso se marque extranjero o Sudamérica.,Requisito de idioma,Detallar requisito de idioma,¿Solicita experiencia participando en voluntariado?,¿Solicita experiencia laboral?,Detalles sobre experiencia laboral que solicita,¿Preferencia por personas con experiencias internacionales?,Público objetivo,Estado de la convocatoria,Documentación requerida,Método de aplicación,Requisitos adicionales ,Nota o comentario adicional,"Adjunte un documento en formato Word sobre la beca o el programa (descripción, requisitos de elegibilidad, documentación, cronograma y toda información pertinente), por favor.","Adjunte un documento en formato Word sobre la beca o el programa (descripción, requisitos de elegibilidad, documentación, cronograma y toda información pertinente), por favor.",Columna 30,Columna 35,Columna 35
BECA COLEGIOS DE ALTO RENDIMIENTO – COAR(PUCP),Pregrado,Total,"Seguro médico, Estadía, Estipendio para costo de vida, Transporte, Curso de idiomas, Seguro contra accidentes, oncologico y de renta educacional",https://admision.pucp.edu.pe/becas-y-pensiones/becas/beca-colegios-de-alto-rendimiento-coar,Cualquier disciplina,Presencial,9/2/2024,10/11/2024,Tercero,3/8/2025,Un año,"Sí, sujeto a evaluación",No aplica,Pontificia Universidad Católica del Perú,Local,,No,,No,No,,No,"Estudiantes destacados, Estudiantes de bajos recursos, Primeros puestos, Estudiantes próximos a graduarse",Abierta,"Certificados académicos, Tener la admisión o preadmisión a la Universidad, hasta septiembre de 2024, por cualquiera de los procesos de admisión ofrecidos,","Aplicación en línea a través del sitio web oficial, Envío de documentos por correo electrónico",,Los alumnos de los COAR deben presentar una constancia de excelencia académica de 3° a 4°.,,,,,
Beca Talento Coar,Pregrado,Parcial,"Seguro médico, costo, gasto o derecho asociado al servicio universitario ofrecido, durante todo el período de la carrera.",https://admision.zendesk.com/hc/es/sections/18989102539021-Beca-Talento-COAR,Cualquier disciplina,Presencial,,1/1/2030,Tercero,3/1/2024,Duración de toda la carrera,"Sí, sin mayor tramitación",No aplica,Universidad Tecnológica del Peru,Local,,Sí,,No,No,,No,"Estudiantes destacados, Estudiantes de bajos recursos, Estudiantes próximos a graduarse, ",Abierta,"Certificados académicos, Exámenes",Aplicación en línea a través del sitio web oficial,,,,,,,
Beca COAR,Pregrado,Parcial,,https://www.udep.edu.pe/becas/coar/,"STEM (Science, Technology, Engineering and Mathematics), Ciencias Economicas y Empresariales, Artes, Ciencias Sociales y Humanidades, Ciencias Juridicas",Presencial,9/26/2024,10/6/2024,Tercero,9/26/2024,Un ciclo o semestre,Una sola vez,No,Universidad de Piura,Local,,No,,No,No aplica,,No aplica,"Estudiantes destacados, Primeros puestos, Estudiantes próximos a graduarse",Abierta,Certificados académicos,Aplicación en línea a través del sitio web oficial,,,,,,,
Beca Chevening,Posgrado,Total,"Estipendio para costo de vida, Transporte, Costo de una solicitud de visa, asignacion de llegada y salida del pais, beca de viaje para asistir a eventos Chevening en el Reino Unido, ",https://www.chevening.org/scholarship/peru/ ,No distingue areas,Presencial,8/6/2024,12/5/2024,Tercero,Septiembre/Octubre del 2025,Duración de grado o maestría,"Sí, sin mayor tramitación",Sí,Gobierno del Reino Unido,Extranjero,Reino Unido,No,Inglés: Se recomienda nivel intermedio-avanzado,,Sí,"Al menos dos años de experiencia laboral (2.800 horas). Se puede combinar hasta 15 periodos de trabajo, en los que cuenta: Empleo a tiempo completo // Empleo a tiempo parcial // Trabajo voluntario // Pasantías remuneradas o no remuneradas
",No,"Egresados, Estudiantes que han demostrado liderazgo, Lideres que buscan constribuir a su desarrollo local",Abierta,"Currículum Vitae, Recomendaciones, Ensayos",Aplicación en línea a través del sitio web oficial,,"Debes tener tres opciones preferidas de cursos de maestría en el Reino Unido. Es responsabilidad del estudiante investigar, elegir y postular a sus cursos",,,,,
Beca Líderes con Propósito-Accesibilidad,Pregrado,Total,"Seguro médico, Curso de idiomas, Dispositivos electrónicos (ej. laptop, tablet, etc.)",https://admision.up.edu.pe/becas/,"STEM (Science, Technology, Engineering and Mathematics), Ciencias Economicas y Empresariales, Ciencias Sociales y Humanidades, Ciencias Juridicas",Presencial,10/7/2024,10/18/2024,Tercero,2025,Duración de grado o maestría,"Sí, sin mayor tramitación",No aplica,Universidad del Pacífico ,Local,,No,,No,No aplica,,No aplica,"Estudiantes destacados, Primeros puestos, Estudiantes que han demostrado liderazgo",Abierta,Carta de motivación,Aplicación en línea a través del sitio web oficial,,Requiere haber sido seleccionado en los proceso de Admisión de la Universidad ,,,,,
Beca Hijos de Docentes ,Pregrado,Total,"Estadía, Estipendio para costo de vida, Transporte, Curso de idiomas, Dispositivos electrónicos (ej. laptop, tablet, etc.)",https://www.gob.pe/institucion/pronabec/campa%C3%B1as/57697-beca-hijos-de-docentes-2024,No distingue areas,Presencial,,4/19/2024,Estado Peruano,2025,Duración de grado o maestría,"Sí, sujeto a evaluación",No aplica,,Local,,No,,No,No aplica,,No aplica,"Estudiantes destacados, Primeros puestos, Hijos de docentes de la Carrera Magisterial ",Cerrada,Certificados académicos,Aplicación en línea a través del sitio web oficial,,Se debe acreditar alto rendimiento académico durante etapa escolar ,,,,,
Knight-Hennessy scholar,Posgrado,Total,"Seguro médico, Estadía, Transporte",https://knight-hennessy.stanford.edu/admission,No distingue areas,Presencial,,10/9/2024,Tercero,xx-xx-2025,Duración de grado o maestría,"Sí, sin mayor tramitación",No,Stanford University,Extranjero,,Sí,Ingles (B2-C1),Sí,No,,No,"Egresados, Estudiantes que han demostrado liderazgo, Investigadores en áreas específicas, Mujeres en negocios o liderazgo, Músicos, artistas o similar",Abierta,"Currículum Vitae, Recomendaciones, Carta de motivación, Certificados académicos, Ensayos",Aplicación en línea a través del sitio web oficial,,,,,,,
Becas BCP,Pregrado,Total,"Seguro médico, Estadía, Estipendio para costo de vida, Curso de idiomas, Dispositivos electrónicos (ej. laptop, tablet, etc.)",https://admision.pucp.edu.pe/becas-y-pensiones/becas/becas-bcp,"STEM (Science, Technology, Engineering and Mathematics), Ciencias Economicas y Empresariales",Presencial,1/1/2024,1/6/2025,Tercero,01-01-2023,Duración de grado o maestría,Una sola vez,No aplica,PUCP-Patronato bcp,Local,,No,,No,No aplica,,No aplica,"Estudiantes destacados, Estudiantes de bajos recursos, Primeros puestos, Estudiantes próximos a graduarse, Estudiantes interesados en emprendimiento y negocios",Abierta,Certificados académicos,Aplicación en línea a través del sitio web oficial,,Para estudiantes en situacion de pobreza extrema-residencia en provincia,,,,,
Programa Talento COFIDE - Desarrollando líderes 2025,Cursos y capacitaciones,Total,,https://www.linkedin.com/posts/cofide_convocatoria-talento-cofide-2025-activity-7243023626667536387-BBX-/?originalSubdomain=es,Carreras universitarias afines a las áreas core y soporte de COFIDE,Virtual,9/20/2024,10/19/2024,Tercero,Enero 2025,2 meses,"Sí, sin mayor tramitación",No aplica,Coorporación Financiera del Desarrollo (COFIDE),Local,,No,,No,No,,No,"Estudiantes destacados, Estudiantes próximos a graduarse, Estudiantes recién egresados (2024-I)",Abierta,"Currículum Vitae, Certificados académicos, Carta de presentación de la universidad de procedencia",https://bit.ly/3XN0ugZ,,Se requiere conocimiento de Microsoft Excel a nivel intermedio-avanzado y disponibilidad de 6-8 horas diarias de enero a marzo,,,,,
Curso Especializado Tablas Dinámicas y Dashboard en Excel,Cursos y capacitaciones,Total,,https://www.facebook.com/share/p/VCkWbrCpXWLMBdvr/,"STEM (Science, Technology, Engineering and Mathematics)",Virtual,,10/10/2024,Estado Peruano,10-10-2024,Un mes,Una sola vez,No aplica,,Local,,No,,No,No aplica,,No aplica,"Estudiantes destacados, Estudiantes de bajos recursos, Estudiantes pertenecientes a grupos subrepresentados, Mujeres en STEM, Egresados, Estudiantes próximos a graduarse, Mujeres en negocios o liderazgo, Estudiantes interesados en emprendimiento y negocios",Abierta,No requiere,Aplicación por formulario,,,,,,,
Curso: SQL SERVER Fundamentals,Cursos y capacitaciones,Total,,https://chat.whatsapp.com/K1dbYu9SqNqCNmnQRP4spv ,"STEM (Science, Technology, Engineering and Mathematics)",Virtual,,10/16/2024,Estado Peruano,16-10-2024,Un mes,Una sola vez,No aplica,,Local,,No,,No,No aplica,,No aplica,"Estudiantes destacados, Estudiantes de bajos recursos, Estudiantes pertenecientes a grupos subrepresentados, Mujeres en STEM, Egresados, Estudiantes próximos a graduarse, Estudiantes que han demostrado liderazgo, Mujeres en negocios o liderazgo, Estudiantes interesados en emprendimiento y negocios",Abierta,No requiere,Formulario,,,,,,,
Curso Santander  English Online 2024 - British Council - 3rd Call,Cursos y capacitaciones,Total,,https://app.santanderopenacademy.com/es/program/english-online-2024-british-council-3rd-call,Idiomas,Virtual,,11/18/2024,Tercero,03-01-2025,Dos meses,Una sola vez,No aplica,Santander - British Council,Extranjero,Sudamérica y Europa,No,,No,No aplica,,No aplica,"Estudiantes destacados, Estudiantes de bajos recursos, Estudiantes pertenecientes a grupos subrepresentados, Mujeres en STEM, Egresados, Personas interesadas en mejorar su nivel de inglés",Abierta,No requiere,Aplicación en línea a través del sitio web oficial,,,,,,,
Curso Santander | Liderazgo,Cursos y capacitaciones,Total,,https://www.santanderopenacademy.com/es/courses/leadership.html,No distingue areas,Virtual,,12/31/2024,Tercero,Abierto,8 horas lectivas,Una sola vez,No aplica,Santander,Extranjero,Global,No,,,,,,"Estudiantes destacados, Estudiantes de bajos recursos, Estudiantes pertenecientes a grupos subrepresentados, Mujeres en STEM, Estudiantes que han demostrado liderazgo, Mujeres en negocios o liderazgo, Estudiantes interesados en emprendimiento y negocios",Abierta,-,Aplicación en línea a través del sitio web oficial,,,,,,,
Introducción a Power BI,Cursos y capacitaciones,Total,,https://conectaempleo-formacion.fundaciontelefonica.com/es/web/pe-introduccion-a-power-bi-mtpe-ed-1,"STEM (Science, Technology, Engineering and Mathematics)",Virtual,5/4/2024,12/31/2024,Tercero,04-05-2024,30 horas,Una sola vez,No aplica,Fundación Telefónica,Local,,No,,No,No,,No aplica,"Mayores de 18 años, residentes en Perú, personas relacionadas con la entidad asociada al curso ",Abierta,ninguna,Aplicación en línea a través del sitio web oficial,,Este curso/capacitación tiene un periodo de inscripción largo porque al momento de registrase solo es necesario completar los módulos de manera online y recibes el certificado. ,,https://drive.google.com/open?id=1GdRgwVTWx67BS_uP7j2nf5YH1BX8pAz0,,,
